Compound,CAS,log_Benchmark_concentration,Activity_level,Concentrations,Responses,Endpoint,Reference,Is_viability
"1,1-Dimethylpiperidinium chloride",24307-26-4,1.92258534,50,"0.001,0.001,0.001,0.003,0.003,0.003,0.006,0.006,0.006,0.01,0.01,0.01,0.03,0.03,0.03,0.07,0.07,0.07,0.1,0.1,0.1,0.3,0.3,0.3,0.7,0.7,0.7,2,2,2,4,4,4,8,8,8,20,20,20,40,40,40,90,90,90","-6.724,-1.406,-9.369,-3.338,2.619,-0.149,3.378,-1.271,31.053,-10.916,-1.998,-1.326,-4.677,-4.883,5.562,-2.321,1.277,-3.946,1.354,-10.429,-9.717,-8.463,-6.442,-2.956,6.705,-1.44,-0.727,-2.669,2.392,1.055,1.436,0.0589,-10.578,4.923,2.381,-1.742,40.016,-11.3",TOX21_PR_BLA_Agonist_viability,U.S. EPA ToxCast M4ID: 35361612,TRUE
"1,1-Dimethylpiperidinium chloride",24307-26-4,1.132739838,50,"0.02,0.07,0.2,0.6,2,6,20,50","0.999,-0.999,-1.824,-2.272,-3.859,9.782,39.187,53.631",NVS_LGIC_hNNR_NBungSens,U.S. EPA ToxCast M4ID: 30151236,FALSE
"1,1-Dimethylpiperidinium chloride",24307-26-4,0.912912551,50,"0.02,0.07,0.2,0.6,2,6,20,50","1.406,-1.406,9.073,11.44,15.235,46.622,86.475,103.104",NVS_LGIC_rNNR_BungSens,U.S. EPA ToxCast M4ID: 30151722,FALSE
Didodecyldimethylammonium bromide,3282-73-3,1.513869884,50,"0.001,0.001,0.001,0.003,0.003,0.003,0.006,0.006,0.006,0.01,0.01,0.01,0.03,0.03,0.03,0.07,0.07,0.07,0.1,0.1,0.1,0.3,0.3,0.3,0.7,0.7,0.7,2,2,2,4,8,8,8,20,20,20,40,40,40,90,90,90","10.554,-0.232,-3.66,-2.868,6.215,-0.362,-4.514,-4.576,10.341,7.216,-33.243,-4.617,-20.355,0.196,2.138,-3.04,-1.081,4.174,-9.1,-9.125,8.563,0.345,-11.271,1.046,-12.575,-13.183,-1.075,-24.867,1.408,0,8.909,7.211,-10.35,0.0359,45.819,-5.583,5.436,66.441,74.647,82.284,93.985,86.79,99.481",TOX21_MMP_ratio_down,U.S. EPA ToxCast M4ID: 18616903,FALSE
Didodecyldimethylammonium bromide,3282-73-3,1.40065885,50,"0.001,0.001,0.001,0.003,0.003,0.003,0.006,0.006,0.006,0.01,0.01,0.01,0.03,0.03,0.03,0.07,0.07,0.07,0.1,0.1,0.1,0.3,0.3,0.3,0.7,0.7,0.7,2,2,2,4,8,8,8,20,20,20,40,40,40,90,90,90","-2.126,0.0668,10.472,-0.151,0.124,-0.0478,0.37,-2.515,10.842,2.286,-29.655,-0.404,-0.758,-21.128,-0.379,-5.42,6.891,-8.554,-3.823,-7.088,7.643,0.441,-2.995,3.76,-2.81,-2.376,-14.708,-21.046,10.113,-1.739,19.293,12.358,25.642,0.02,7.613,23.935,65.15,86.487",TOX21_MMP_rhodamine,U.S. EPA ToxCast M4ID: 18631325,FALSE
Didodecyldimethylammonium bromide,3282-73-3,1.801341958,50,"0.8,0.8,2,2,7,7,20,20,70,70,200,200","-8.98,-21.846,3.363,-0.525,-8.64,-4.737,-4.707,-3.533,61.463,58.304,85.253,87.979",ATG_XTT_Cytotoxicity_up,U.S. EPA ToxCast M4ID: 29572898,TRUE
Didodecyldimethylammonium bromide,3282-73-3,1.431218975,50,"0.001,0.001,0.001,0.002,0.002,0.002,0.005,0.005,0.005,0.01,0.01,0.01,0.02,0.02,0.02,0.05,0.05,0.05,0.1,0.1,0.1,0.3,0.3,0.3,0.6,0.6,0.6,1,1,1,3,3,3,7,7,7,20,20,20,30,30,30,80,80,80","-2.466,5.414,-0.885,6.549,2.495,8.307,-0.645,0.288,0.181,-1.31,8.132,-0.101,-2.757,2.79,2.188,-4.106,-0.851,-0.271,-0.637,0.952,4.763,4.52,-2.028,1.523,-0.503,13.399,-2.6,-4.868,-2.181,-1.174,0.201,-2.079,0.0269,6.224,-0.85,0.782,19.579,-1.954,29.721,78.2",TOX21_AP1_BLA_Agonist_viability,U.S. EPA ToxCast M4ID: 34692581,TRUE
Didodecyldimethylammonium bromide,3282-73-3,1.732273106,50,"0.001,0.001,0.001,0.003,0.003,0.003,0.006,0.006,0.006,0.01,0.01,0.01,0.03,0.03,0.03,0.07,0.07,0.07,0.1,0.1,0.1,0.3,0.3,0.3,0.7,0.7,0.7,2,2,2,4,4,4,8,8,8,20,20,20,40,40,40,90,90,90","6.786,-2.042,-8.519,2.877,3.09,-2.162,-5.885,-5.393,2.266,-0.07,-1.108,4.046,-5.343,1.625,-5.955,-5.111,9.518,-3.625,-2.25,-2.884,-1.087,1.839,-3.984,-7.872,-0.561,-0.0496,-4.833,-0.258,-5.705,-9.564,2.126,9.566,0.436,0.595,-1.619,0.428,28.853,3.631,3.967,13.558,36.16,85.187,98.958,73.6,100.909",TOX21_ARE_BLA_agonist_viability,U.S. EPA ToxCast M4ID: 18764972,TRUE
Didodecyldimethylammonium bromide,3282-73-3,1.342264727,50,"0.001,0.001,0.001,0.002,0.002,0.002,0.005,0.005,0.005,0.01,0.01,0.01,0.02,0.02,0.02,0.05,0.05,0.05,0.1,0.1,0.1,0.3,0.3,0.3,0.6,0.6,0.6,1,1,1,3,3,3,7,7,7,20,20,20,30,30,30,80,80,80","9.777,3.042,2.265,3.663,1.095,3.455,-6.969,-1.193,0.165,2.125,-0.323,3.657,9.905,9.414,7.261,3.315,6.047,-11.983,-1.621,0.313,5.756,0.0583,0.808,2.657,-0.569,0.212,1.202,2.152,11.394,1.588,18.104,5.161,2.976,10.855,11.071,18.769,24.296,39.317,26.25,92.958,97.534,92.818,91.861,96.429,92.329",TOX21_AR_BLA_Antagonist_viability,U.S. EPA ToxCast M4ID: 18190347,TRUE
Didodecyldimethylammonium bromide,3282-73-3,1.514375063,50,"0.001,0.001,0.001,0.003,0.003,0.003,0.006,0.006,0.006,0.01,0.01,0.01,0.03,0.03,0.03,0.07,0.07,0.07,0.1,0.1,0.1,0.3,0.3,0.3,0.7,0.7,0.7,2,2,2,4,4,4,8,8,8,20,20,20,40,40,40,90,90,90","3.434,1.233,-1.488,1.576,-0.794,1.116,4.182,2.642,0.271,2.904,-1.799,0.955,1.842,1.476,-0.983,2.853,10.565,-1.517,0.791,2.237,0.615,-1.748,2.183,0.779,-0.848,-0.601,6.045,-0.691,1.946,-2.371,-2.909,4.179,4.414,-1.215,4.542,7.083,8.018,9.913,17.673,60.685,59.005,64.824,89.012,84.559,86.306",TOX21_AR_LUC_MDAKB2_Agonist_3uM_Nilutamide_viability,U.S. EPA ToxCast M4ID: 34605552,TRUE
