Mixture,CumNr90Effect,TopContributors
Mixture_1,1,Rotenone
Mixture_2,1,Rotenone
Mixture_3,1,Rotenone
Mixture_4,1,Rotenone
Mixture_5,2,"1,1-Dimethylpiperidinium chloride;Didodecyldimethylammonium bromide"
Mixture_6,1,Rotenone
Mixture_7,1,Rotenone
Mixture_8,2,"1,1-Dimethylpiperidinium chloride;Tibrofan"
Mixture_9,1,Rotenone
Mixture_10,1,Rotenone
Mixture_11,1,Rotenone
Mixture_12,1,"1,1-Dimethylpiperidinium chloride"
Mixture_13,1,Rotenone
Mixture_14,2,"1,1-Dimethylpiperidinium chloride;Tibrofan"
Mixture_15,2,"1,1-Dimethylpiperidinium chloride;Tibrofan"
Mixture_16,1,Rotenone
Mixture_17,1,Rotenone
Mixture_18,2,Didodecyldimethylammonium bromide;Tibrofan
Mixture_19,1,Rotenone
Mixture_20,1,Rotenone
Mixture_21,1,Rotenone
Mixture_22,2,"1,1-Dimethylpiperidinium chloride;Tibrofan"
Mixture_23,1,Rotenone
Mixture_24,1,Rotenone
Mixture_25,1,Rotenone
Mixture_26,2,"1,1-Dimethylpiperidinium chloride;Coumaphos"
Mixture_27,2,Tibrofan;Didodecyldimethylammonium bromide
Mixture_28,1,Rotenone
Mixture_29,1,Rotenone
Mixture_30,1,Rotenone
Mixture_31,1,Rotenone
Mixture_32,2,"1,1-Dimethylpiperidinium chloride;Tibrofan"
Mixture_33,1,Rotenone
Mixture_34,1,"1,1-Dimethylpiperidinium chloride"
Mixture_35,1,Rotenone
Mixture_36,1,"1,1-Dimethylpiperidinium chloride"
Mixture_37,1,Rotenone
Mixture_38,1,Rotenone
Mixture_39,1,Rotenone
Mixture_40,1,Rotenone
Mixture_41,1,Rotenone
Mixture_42,1,Rotenone
Mixture_43,1,Rotenone
Mixture_44,1,Rotenone
Mixture_45,1,Rotenone
Mixture_46,1,Rotenone
Mixture_47,1,Coumaphos
Mixture_48,1,Rotenone
Mixture_49,1,Rotenone
Mixture_50,1,Rotenone
