Compound,CAS,Frequency_Factor
4-Nitroaniline,100-01-6,0.00235271051857661
"1,4-Dinitrobenzene",100-25-4,0.331055654585066
Irinotecan hydrochloride,100286-90-6,0.0254751314193288
"Isoxazole, 3-phenyl-",1006-65-1,0.00169728434504792
"4,4'-Oxydianiline",101-80-4,0.27072319201995
"2,3-Dimethoxynaphthalene",10103-06-7,0.0002999700029997
"1,3-Diphenylguanidine",102-06-7,0.186662726556344
Acetanilide,103-84-4,0.000100310963988364
Anethole,104-46-1,0.000203107545445313
5-Heptyldihydro-2(3H)-furanone,104-67-6,0.00368966892700439
4-Methoxyaniline,104-94-9,0.0210063018905672
Caprolactam,105-60-2,0.017364657814096
"5,6,7,8-Tetrahydropteridine",10593-78-9,0.000890824507572008
p-Cresol,106-44-5,0.0074222668004012
4-Chloroaniline,106-47-8,0.000904704463208685
Allyl bromide,106-95-6,9.98302885095338e-05
2-Benzylpyrimidine,106564-15-2,0.000198550580760449
1-Chloro-2-bromoethane,107-04-0,0.0034277648956548
"2-Methyl-2,4-pentanediol",107-41-5,0.0474915724767004
6-Methoxy-alpha-tetralone,1078-19-9,0.0011037527593819
Polyisohexylcyanoacrylate,107811-81-4,0.00696309559335522
"1-Butyl-2,3-dimethylimidazolium iodide",108203-70-9,0.0154467440686522
1-Butanethiol,109-79-5,0.0011018731844135
"2E,4E-Hexadienoic acid",110-44-1,0.028201068672076
n-Hexane,110-54-3,0.000100180324584252
Ethylene glycol dimethyl ether,110-71-4,0.115770465489567
Mepanipyrim,110235-47-7,0.000879765395894428
"1,5-Dibromopentane",111-24-0,0.0815645845967253
1-Hexanol,111-27-3,9.93147283742179e-05
2-Butoxyethanol,111-76-2,0.563641808924828
"N,N-Dimethyloctanamide",1118-92-9,0.0313627254509018
Thiacloprid,111988-49-9,0.00226712666338098
10-Undecenoic acid,112-38-9,0.563629104701068
Tetraconazole,112281-77-3,3e-04
Chlorpheniramine maleate,113-92-8,0.235707916377688
"2,4-Pentanedione, 3-benzyl- (8CI)",1134-87-8,0.000713194090677534
Chlorendic anhydride,115-27-5,0.0009076240419524
Tris(2-chloroethyl) phosphate,115-96-8,0.0012137149792657
"1,1,3,3,5-Pentamethyl-4,6-dinitro-2,3-dihydro-1H-indene",116-66-5,9.91276764472641e-05
2-Chlorobenzoic acid,118-91-2,0.0016001600160016
Tetraethylurea,1187-03-7,0.00476663356504469
"3,3'-Dimethylbenzidine",119-93-7,0.0017650519709747
"3,3-Dimethylallyl acetate",1191-16-8,9.88533017002768e-05
"1,6-Hexane dithiol",1191-43-1,0.000203562340966921
Methylenecyclohexane,1192-37-6,0.00829408150727012
4-(Diethylamino)benzaldehyde,120-21-8,0.0313757039420756
"1,3-Diphenyl-1,3-propanedione",120-46-7,0.000200120072043226
Indole,120-72-9,0.0646612032780332
"2-(1-Chlorocyclopropyl)-1-(2-chlorophenyl)-3-(1H-1,2,4-triazol-1-yl)-2-propanol",120983-64-4,0.0060882800608828
2-Amino-5-nitrothiazole,121-66-4,0.000895611503632202
2-Amino-5-nitrophenol,121-88-0,0.00745230524642289
4-Chlorophenoxyacetic acid,122-88-3,0.600833926573782
Tralopyril,122454-29-9,0.223078483066315
Hydroquinone,123-31-9,0.0483821888629679
Diacetone alcohol,123-42-2,0.566077525607552
Chlorodibromomethane,124-48-1,0.000399281293671391
Tributyl phosphate,126-73-8,0.0887282946903543
"1,4-Diaminoanthraquinone",128-95-0,0.66580568249553
Clioquinol,130-26-7,0.0306345733041576
"2,2'-Dichlorobiphenyl",13029-08-8,0.000396275014860313
"4,4'-(Isopropylidenebis(4,1-phenyleneoxy))dianiline",13080-86-9,0.0188697788697789
"8-(Dicyclopropylmethyl)-1,3-dipropylxanthine",131080-42-7,0.000301356102461075
Lansoprazole sulfone,131926-99-3,0.00129366106080207
Benzofuran-5-ol,13196-10-6,0.000199381916060213
