Name,CAS,Conc,Effecti,AC10µM,pi,Endpoint(s)
Hexafluorenium dibromide,317-52-2,7.83E-05,3.85E-11,20365891.57,1.17E-07,Baseline
1-Ethyl-1-methylpyrrolidinium bromide,69227-51-6,0.000470086,1.81E-14,2.59953E+11,6.99E-07,Baseline
Prifinium bromide,4630-95-9,0.000470086,5.24E-08,89638.13645,6.99E-07,Baseline
1-Ethylpyridinium bromide,1906-79-2,0.000940172,8.54E-16,1.10129E+13,1.40E-06,Baseline
Tetrapropylammonium bromide,1941-30-6,7.83E-05,5.84E-13,1342084806,1.17E-07,Baseline
1-Methyl-1-propylpyrrolidinium bromide,608140-09-6,0.006267811,4.00E-13,1.56859E+11,9.32E-06,Baseline
1-Methyl-1-propylpiperidinium bromide,88840-42-0,0.001566953,5.34E-12,2933048045,2.33E-06,Baseline
Anisotropine methylbromide,80-50-2,0.000156695,7.71E-09,203286.8965,2.33E-07,Baseline
1-Butyl-1-methylpyrrolidinium bromide,93457-69-3,0.000313391,1.15E-13,27190096345,4.66E-07,Baseline
1-Butyl-4-methylpyridinium bromide,65350-59-6,0.111175306,9.67E-12,1.14949E+11,0.000165329,Baseline
1-Butyl-3-methylpyridinium bromide,26576-85-2,0.192500159,1.67E-11,1.14949E+11,0.000286267,Baseline
1-Butylpyridinium bromide,874-80-6,0.000313391,6.75E-15,4.64251E+11,4.66E-07,Baseline
1-Butyl-2-methylpyridinium bromide,26576-84-1,7.83E-05,6.82E-15,1.14949E+11,1.17E-07,Baseline
"1-Butyl-2,3-dimethylimidazolium bromide",475575-45-2,0.020918821,1.10E-12,1.8936E+11,3.11E-05,Baseline
1-Ethyl-3-methylmidazolium bromide,65039-08-9,0.853205835,1.11E-12,7.67401E+12,0.001268802,Baseline
3-Hydroxybenzyl,155174-22-4,0.002585472,3.72E-05,695.8341885,3.84E-06,Baseline
4-Hydroxybenzyl,88170-17-6,0.003525644,5.07E-05,695.8341885,5.24E-06,Baseline
"Methyl, phenyl-",2154-56-5,0.006032769,0.000243831,247.4156627,8.97E-06,Baseline
2-Methylbenzyl radical,2348-48-3,0.000626781,5.15E-05,121.8001146,9.32E-07,Baseline
2-OH-benzyl,155174-21-3,0.005170944,7.43E-05,695.8341885,7.69E-06,Baseline
"Ethyl, 2-phenyl-",17203-53-1,0.000548434,4.91E-05,111.6419988,8.16E-07,Baseline
1-Hexyl radical,2679-29-0,0,0,67.42960708,0,Baseline
