Compound,CAS,MW,MW_Reference,Expocast,ExpoCast_Reference,Fub,Fub_Reference,Clint,Clint_Reference,pKa_Acceptor,pKa_Acceptor_Reference,pKa_Donor,pKa_Donor_Reference,logKoa,logKoa_Reference,CNS,CNS_Reference,Neutral_Form,Neutral_Form_Reference
Decamethonium bromide,541-22-0,418.302,U.S. EPA CompTox Dashboard,2.33E-07,Wambaugh 2014,0.44,OPERA (0.28),9.78,OPERA (0.52),None,Sipes 2017,None,Sipes 2017,-3.23,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Hexafluorenium dibromide,317-52-2,662.554,U.S. EPA CompTox Dashboard,4.42E-07,Wambaugh 2014,0.31,OPERA (0.4),12.38,OPERA (0.49),None,Sipes 2017,None,Sipes 2017,-0.86,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0,ACD/Labs GALAS
Choline bromide,1927-06-06,184.077,U.S. EPA CompTox Dashboard,1.1E-06,U.S. EPA CompTox Dashboard,0.67,OPERA (0.48),8.43,OPERA (0.5),None,Sipes 2017,None,Sipes 2017,-3.7,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Tetraethylammonium bromide,71-91-0,210.159,U.S. EPA CompTox Dashboard,4.37E-08,Wambaugh 2014,0.7,OPERA (0.57),13.58,OPERA (0.55),None,Sipes 2017,None,Sipes 2017,-2.79,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
Diponium bromide,2001-81-2,404.433,U.S. EPA CompTox Dashboard,2.36E-07,Wambaugh 2014,0.04,OPERA (0.7),4.29,OPERA (0.47),None,Sipes 2017,None,Sipes 2017,-0.24,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
1-Ethyl-1-methylpyrrolidinium bromide,69227-51-6,194.116,U.S. EPA CompTox Dashboard,1.23E-07,Wambaugh 2014,0.73,OPERA (0.54),7,OPERA (0.5),None,Sipes 2017,None,Sipes 2017,-2.69,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
Prifinium bromide,4630-95-9,386.377,U.S. EPA CompTox Dashboard,2.48E-07,Wambaugh 2014,0.17,OPERA (0.55),0.55,OPERA (0.47),None,Sipes 2017,None,Sipes 2017,0.72,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
1-Ethylpyridinium bromide,1906-79-2,188.068,U.S. EPA CompTox Dashboard,1.35E-07,Wambaugh 2014,0.8,OPERA (0.41),4.45,OPERA (0.59),None,Sipes 2017,None,Sipes 2017,-3.24,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
Diethylmethyl(2-3-methyl-2-phenylvaleryloxy)-ethyl)ammonium bromide,90-22-2,386.374,U.S. EPA CompTox Dashboard,2.47E-07,Wambaugh 2014,0.19,OPERA (0.45),6.46,OPERA (0.54),None,Sipes 2017,None,Sipes 2017,-0.49,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Tetrapropylammonium bromide,1941-30-6,266.267,U.S. EPA CompTox Dashboard,2.14E-07,Wambaugh 2014,0.41,OPERA (0.46),20.6,OPERA (0.66),None,Sipes 2017,None,Sipes 2017,-1.77,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0,ACD/Labs GALAS
