Compound,CAS,Frequency_Factor
Methenamine,100-97-0,0.00218992633884133
4-(2-Phenylpropan-2-yl)-N-[4-(2-phenylpropan-2-yl)phenyl]aniline,10081-67-1,0.0403980099502488
2-Methoxybenzenesulfonyl chloride,10130-87-7,9.8570724494825e-05
"1,5-Dibromo-2-(2,4-dibromophenoxy)-3-methoxybenzene",102739-99-1,9.97307270370001e-05
"1H,1H,8H-Perfluoro-1-octanol",10331-08-5,0.000902074771975544
"Dibenzo(b,e)(1,4)dioxin, 1,2,3,4-tetrabromo-",104549-41-9,0.0123789557751822
Ebselen diselenide,106663-84-7,0.000913427382523089
4-Methyl-2-pentanone,108-10-1,9.8833761612967e-05
Isopropyl ether,108-20-3,0.000297059114763838
Cyclohexanol,108-93-0,0.000100593501659793
Phenol,108-95-2,0.000495000495000495
"4,5,6,7-Tetrabromo-1,1,3-trimethyl-3-(2,3,4,5-tetrabromophenyl)-2,3-dihydro-1H-indene",1084889-51-9,0.701094527363184
Tetrahydrothiophene,110-01-0,0.000699510342760068
Pentan-1-amine,110-58-7,9.96115150911445e-05
1-Hexanol,111-27-3,0.00111010192754062
"1,2,3,4-Tetrabromo-5-phenylbenzene",115245-09-5,0.000100452034153692
Dichloralurea,116-52-9,0.000505050505050505
"1,1,3,3,5-Pentamethyl-4,6-dinitro-2,3-dihydro-1H-indene",116-66-5,0.000701895116815402
"9,10-Anthracenedione, 1-amino-4-hydroxy-",116-85-8,0.000102722136620442
"Bis(2,4,6-trichlorophenyl)oxalate",1165-91-9,0.0135924285138945
"1,1':3',1'':4'',1'''-Quaterphenyl",1166-19-4,0.0184928797468354
"1,2,4,5-Tetrabromo-3-(2,4,6-tribromophenoxy)benzene",116995-32-5,0.201508412299362
BDE-147,116995-33-6,0.129949639577367
"Benzene, 1,2,3,5-tetrabromo-4-(2,4,6-tribromophenoxy)-",117948-63-7,0.187125748502994
Dichlorprop,120-36-5,0.00312122432541281
Duokvin,120509-24-2,0.0239277204130262
2-Phenoxyethanol,122-99-6,0.00180722891566265
4-Heptanone,123-19-3,0.0059659938351397
Aldrin parent,124-96-9,9.92851469420175e-05
Lutein,127-40-2,0.726220688255
Dimethyl phthalate,131-11-3,0.0143219908583037
Aurofusarin,13191-64-5,0.000100180324584252
Perfluoro-2-methyl-3-oxahexanoic acid,13252-13-6,0.00030309153364316
"1H-Benzotriazole, 1-methyl-",13351-73-0,9.9039318609488e-05
2-Butanone peroxide,1338-23-4,0.019256106212628
Dechlorane Plus,13560-89-9,0.779131303045432
"1,2-Diphenyl tetrachloroethane",13700-81-7,9.90785693054592e-05
"2,3-Bis(3-indolylmethyl)indole",138250-72-3,0.00120554550934298
Zeaxanthin,144-68-3,0.796080771908883
BM 15.0639,144583-97-1,0.402865444344254
"1-tert-Butyl-3,4,5-trimethyl-2,6-dinitrobenzene",145-39-1,0.000100573267625465
BDE-19,147217-73-0,0.000490244141582508
"1,2-Dibromo-3-(2-bromophenoxy)benzene",147217-74-1,0.000708215297450425
"2,2',4-Tribromodiphenyl ether",147217-75-2,0.000405844155844156
BDE-20,147217-76-3,0.000796971508268579
"1,3-Dibromo-5-(3-bromophenoxy)benzene",147217-79-6,0.00187821273230526
BDE-35,147217-80-9,0.00100411687920474
BDE-37,147217-81-0,0.000600540486437794
7H-Perfluoroheptanoic acid,1546-95-8,0.0133879508442402
"2,4,6-Tribromodiphenyl ether",155999-95-4,0.000602772754671489
"N,N-Bis(4-tert-octylphenyl)amine",15721-78-5,0.282969520168997
"(1,1'-Biphenyl)-4-ol, 2,2',3,3',4',5,5'-heptachloro-",158076-64-3,0.000299940011997601
"(1,1'-Biphenyl)-4-ol, 2,2',3,4',5,5',6-heptachloro-",158076-68-7,0.000687217749852739
(Perfluoro-3-methylbutyl)-2-hydroxypropyl acrylate,16083-76-4,0.000496277915632754
2-(Allylthio)pyrazine,164352-89-0,0.000398763832120427
"2H-1-Benzopyran-6-ol, 3,4-dihydro-2,5,7,8-tetramethyl-2-(4,8,12-trimethyl-3,7,11-tridecatrien-1-yl)-",1721-51-3,0.828017198280172
"3,3-Bis(trifluoromethyl)-2-propenoic acid",1763-28-6,9.98601957259836e-05
"N~9~,N~9~,N~10~,N~10~-Tetrakis(4-methylphenyl)anthracene-9,10-diamine",177799-16-5,0.846912090122712
"C.I. Pigment Red 52, calcium salt (1:1)",17852-99-2,0.0316638454645026
"2,2',3,4,4'-Pentabromodiphenyl ether",182346-21-0,0.000195102916788606
"2,2',3,4,4',5'-Hexabromodiphenyl Ether",182677-30-1,0.14812197092084
Benzene hexabromide,1837-91-8,0.000100391526955125
"2,3,4,5,6,8-Hexachlorodecane",1852481-27-6,0.00118401578687716
"1,4,5,6,7,7-Hexachloro-2,2-bis(chloromethyl)-3-methylidenebicyclo[2.2.1]heptane",1852481-29-8,0.000199461454074
"1,3-Dibromo-2-(2,4-dibromophenoxy)benzene",189084-57-9,0.00209413641802952
BDE-166,189084-58-0,0.100507911701504
BDE-32,189084-60-4,0.000305810397553517
BDE-75,189084-63-7,0.00629811056682995
"1,2,3,4,5-Pentabromo-6-phenoxybenzene",189084-65-9,0.009013470681458
"2,3',4,4',6-Pentabromodiphenyl Ether",189084-66-0,0.0385813322616297
"2,4-Dichloro-1-(2,2-dichloro-1-phenylethenyl)benzene",198886-60-1,0.000302969097152091
"1,2,3,4-Tetrachloronaphthalene",20020-02-4,0.000199541055572184
"Sucrose, 1-myristate",200615-17-4,9.97904400758407e-05
"2,2',4,4',5,6'-Hexabromodiphenyl ether",207122-15-4,0.0083757104397248
"2,2',3,4,4',5',6-Heptabromodiphenyl ether",207122-16-5,0.198183652875883
"(1,2)Dithiolo(1,5-b)(1,2)dithiole-7-s(iv), 2,5-dimethyl-",2080-35-5,0.0360876558102131
Elsibucol,216167-95-2,0.896510468594217
"Bis(2,6-diisopropylphenyl)carbodiimide",2162-74-5,0.967314399601395
"N-[2,6-Di(propan-2-yl)phenyl]-N'-{4-[(4-nitrophenyl)sulfanyl]phenyl}urea",228544-65-8,0.000994727941907888
Perfluoroazelaic acid,23453-64-7,0.00111595820229279
11-Aminoundecanoic acid,2432-99-7,0.000705787457148619
"2,2',4,5'-Tetrabromodiphenyl Ether",243982-82-3,0.00659011482775836
BDE-140,243982-83-4,0.126650124069479
"Pyrrolo[2,3-b]indole",247-03-0,0.000592534070709066
tert-Dodecanethiol,25103-58-6,9.9770527786092e-05
7:3 Fluorotelomer alcohol,25600-66-2,0.00477279506811176
delta-Tocotrienol,25612-59-3,0.655303408977307
Hexyl decyl phthalate,25724-58-7,0.418510068445591
"1,1,1,2,2,3-Hexachlorohexane",26264-54-0,0.000502411575562701
"3H-2,3-Benzodiazepine",264-24-4,0.000198550580760449
"2-(Perfluoropropoxy)-1H,1H-perfluoropropanol",26537-88-2,0.0181417259697304
"Naphtho(2,3-b)thiophene",268-77-9,0.0475469412477287
2H-Isoindole,270-68-8,0.000604107933950866
6:3 Fluorotelomer carboxylic acid,27854-30-4,0.00322202694786175
Heptachlor epoxide A,28044-83-9,9.97406742469579e-05
"2,7-Di-tert-butyl-9-fluorenylmethyl chloroformate",287381-46-8,0.0820138043036947
"1,4-Thiazepine",292-14-8,0.000502866338127326
Perfluorooctanamidine,307-31-3,0.00420757363253857
Monoisobutyl phthalate,30833-53-5,0.000401042711048727
"1,2,3,4,6,7,8,9,10,10,11,11-dodecachloro-1,4,4a,5a,6,9,9a,9b-octahydro-1,4:6,9-dimethanodibenzofuran",31107-44-5,0.154435483870968
"1,2,5,6-Tetrabromocyclooctane",3194-57-8,0.000300902708124373
"2,4-Dichloro-1-(trifluoromethyl)benzene",320-60-5,0.000100421771440048
"3,5-Dichlorosalicylic acid",320-72-9,0.000789032448959463
"1,3-Butanedione, 4,4,4-trifluoro-1-(2-thienyl)-",326-91-0,0.00101978380583316
BDE-69,327185-09-1,0.00497067302912814
"1,2-Dichloro-4-(trifluoromethyl)benzene",328-84-7,9.9770527786092e-05
"1H,1H,7H-Dodecafluoro-1-heptanol",335-99-9,0.000801201802704056
BDE-38,337513-54-9,0.00100260677762182
BDE-48,337513-55-0,0.00574538856970064
BDE-41,337513-68-5,0.00231271995977878
BDE-203,337513-72-1,0.365263571990559
BDE-57,337513-82-3,0.00991375037176564
"1,1-Dimethylpropyl hydroperoxide",3425-61-4,0.000788721285615696
Miconidin,34272-58-7,0.00171890798786653
2-(Perfluorohexyl)ethanethiol,34451-26-8,0.000503930659141302
C.I. Pigment Orange 5,3468-63-1,0.000491738788355626
