Compound,CAS,log_AC10,log_AC50,Slope,Top_curve,Endpoints,Viability
"1,1-Dimethylpiperidinium chloride",24307-26-4,0.160657629323436,0.788337536155088,1.52026932685494,100,NVS_LGIC_rNNR_BungSens,FALSE
1-Benzylquinolinium chloride,15619-48-4,0.0436815236360714,1.18869967945166,0.834546496145443,100,NVS_GPCR_gMPeripheral_NonSelective|NVS_GPCR_gOpiateK|NVS_GPCR_hM2|NVS_GPCR_hM4|NVS_GPCR_hM5|NVS_GPCR_rAdra1A|NVS_GPCR_rmAdra2B|NVS_IC_rNaCh_site2|NVS_TR_gDAT|NVS_TR_hDAT,FALSE
1-Hexadecyl-3-methylimidazolium chloride,61546-01-8,0.509390835900058,1.32909137446544,1.16584312823942,100,TOX21_MMP_ratio_down|TOX21_MMP_rhodamine,FALSE
1-Methyl-3-tetradecylimidazolium chloride,171058-21-2,0.399443834418075,1.2121205945748,1.19022290458807,98.434399335084,TOX21_MMP_ratio_down|TOX21_MMP_rhodamine,FALSE
Benzethonium chloride,121-54-0,-0.615979304568779,0.226605016431246,1.68634941078704,100,NVS_IC_rCaBTZCHL|NVS_TR_gDAT|NVS_TR_hDAT|NVS_TR_hNET,FALSE
Benzylhexadecyldimethylammonium chloride,122-18-9,-0.113166897895833,0.302324181624531,2.05398431758639,98.566765738035,NVS_GPCR_hDRD1|NVS_GPCR_hM2|NVS_GPCR_hOpiate_mu|NVS_TR_hDAT|NVS_TR_hNET|TOX21_MMP_ratio_down|TOX21_MMP_rhodamine,FALSE
Cetylpyridinium chloride,123-03-5,2.87073148471399,2.97337769516933,9.29642219821247,100,TOX21_MMP_rhodamine,FALSE
Didodecyldimethylammonium bromide,3282-73-3,1.24600078723328,1.46764847959842,4.30522194594891,94.1479953141481,TOX21_MMP_ratio_down,FALSE
Dodecyltrimethylammonium chloride,112-00-5,0.0142826277087302,0.795399658435255,1.08819859252509,98.8250952548321,NVS_ENZ_rMAOBC|NVS_GPCR_gMPeripheral_NonSelective|NVS_GPCR_hDRD1|NVS_GPCR_hDRD2s|NVS_GPCR_hM1|NVS_GPCR_hM2|NVS_GPCR_hM3|NVS_GPCR_hM4|NVS_GPCR_hM5|NVS_IC_hKhERGCh|NVS_IC_rCaBTZCHL|NVS_IC_rNaCh_site2|NVS_TR_hNET|NVS_TR_rSERT,FALSE
Estrone,53-16-7,0.413770579885683,1.06322538892297,1.46929778047811,46.8586091197286,TOX21_MMP_ratio_down,FALSE
Ethylhexadecyldimethylammonium bromide,124-03-8,-0.173598532145039,0.324697985911042,1.90920353922986,98.7553525610058,NVS_GPCR_hDRD1|NVS_GPCR_hM2|NVS_GPCR_hOpiate_mu|NVS_TR_hDAT|NVS_TR_hNET,FALSE
Hexadecyltrimethylammonium bromide,57-09-0,0.471315194059044,1.19731067974805,1.34716429276607,89.2190429677289,TOX21_MMP_ratio_down|TOX21_MMP_rhodamine,FALSE
Lynestrenol,52-76-6,0.222508683357115,0.952252180327525,1.3134020427088,74.3479312989956,TOX21_MMP_fitc|TOX21_MMP_ratio_down,FALSE
Methylene blue,61-73-4,-0.499447731072248,0.458852744799495,0.995765455058627,76.3146758730662,TOX21_MMP_rhodamine,FALSE
Miripirium chloride,2748-88-1,0.744005428400078,1.16988861428256,2.24652560185021,87.1117662198556,TOX21_MMP_ratio_down|TOX21_MMP_rhodamine,FALSE
"Myristyltrimethylammonium chlorideN,N,N-Trimethyltetradecan-1-aminium chloride",4574-04-03,0.750077654281305,1.17081484808046,2.26802508431153,51.0222917250346,TOX21_MMP_ratio_down,FALSE
"N,N,N-Trimethyloctadecan-1-aminium chloride",112-03-8,-0.476211817789131,-0.0637048874685021,2.37415633989065,68.8150480506264,NVS_GPCR_hDRD1|NVS_GPCR_hM2,FALSE
"N,N-Dimethyl-N-benzyl-N-octadecylammonium chloride",122-19-0,-0.307374498017784,0.349852763645418,1.73317098939543,98.6197966302132,NVS_GPCR_hDRD1|NVS_GPCR_hM2|NVS_GPCR_hOpiate_mu|NVS_TR_hNET,FALSE
Rhodamine B,81-88-9,-0.336104962182893,0.0874151716817138,2.66930504605148,100,TOX21_MMP_fitc|TOX21_MMP_ratio_up,FALSE
Rotenone,83-79-4,-1.66321531859989,-1.22872847300971,1.77887904869271,100,APR_HepG2_MitoMembPot_72h_dn|NCCT_MITO_inhib_resp_rate_OCR_dn|NCCT_MITO_max_resp_rate_OCR_dn|NVS_GPCR_h5HT6|NUMBER_OF_SPIKES|MEAN_FIRING_RATE_HZ|NUMBER_OF_BURSTS|BURST_PERCENTAGE_AVG_(SEC)|BURST_PERCENTAGE_STD_(SEC)|NUMBER_OF_SPIKES_PER_NETWORK_BURST_ AVG|NUMBER_OF_SPIKES_PER_NETWORK_BURST_ STD|AREA_UNDER_CROSS_CORRELATION|FULL_WIDTH_AT_HALF_HEIGHT_OF_CROSS_CORRELATION|SYNCHRONY_INDEX|bursts per minute|percent spikes in network spike|number active electrodes|mean correlation|percent spikes in burst|mean firing rate|b excitatory distmoved 1dpf|a background distmoved 1dpf|CNS neurite outgrowth|LD movement pattern (pearson) 1dpf|LD movement pattern (cosine) 1dpf|percent affected 1dpf|percent affected 3dpf|percent affected 4dpf|percent affected 5dpf|percent affected 1dpf|percent affected 2dpf|number actively bursting electrodes|number network spikes|total branches|SH-S5Y5 neurite outgrowth,FALSE
Tetra-N-octylammonium bromide,14866-33-2,-1.62562114976477,-0.980240585379928,1.51725826336695,88.9738132327129,TOX21_MMP_ratio_down|TOX21_MMP_rhodamine,FALSE
Tetradonium bromide,1119-97-7,0.00353374179261157,0.597579822971119,1.16617222423608,97.7510552617741,NVS_GPCR_hDRD1|NVS_GPCR_hM2|NVS_GPCR_hOpiate_mu|NVS_IC_rNaCh_site2|NVS_TR_hDAT|NVS_TR_hNET|TOX21_MMP_ratio_down|TOX21_MMP_rhodamine,FALSE
Tetraoctylphosphonium bromide,23906-97-0,-1.42989356534992,-0.852691454302146,1.65322075435089,100.087654134811,TOX21_MMP_rhodamine,FALSE
Tributyltetradecylphosphonium chloride,81741-28-8,-0.430518096516012,0.0119433901360177,2.17318237462152,90.2758612069726,NVS_GPCR_hM1|NVS_GPCR_hORL1|NVS_GPCR_hOpiate_mu|TOX21_MMP_rhodamine,FALSE
Trihexyltetradecylphosphonium bromide,654057-97-3,-0.462140055969757,-0.0767184813622327,2.47584092927603,86.232938730335,TOX21_MMP_ratio_down,FALSE
Acenocoumarol,152-72-7,0.228393276743038,0.787217198296209,1.70759066073468,77.9594497122662,TOX21_MMP_rhodamine,FALSE
Cyproterone acetate,427-51-0,-0.448764267307227,0.510378455214867,0.997842041547722,36.8929922112676,NCCT_MITO_basal_resp_rate_OCR_dn|NVS_GPCR_rOpiate_NonSelective,FALSE
Diacetone alcohol,123-42-2,-0.230061293883429,0.96783068910887,0.796601465731205,1.24550044728297,APR_HepG2_MitoMass_24h_dn,FALSE
Ketoconazole,65277-42-1,0.457930766560675,1.14785309885844,1,100,NCCT_MITO_inhib_resp_rate_OCR_dn|NVS_TR_hDAT|TOX21_MMP_fitc|NVS_TR_hSERT|NUMBER_OF_SPIKES|MEAN_FIRING_RATE_HZ|NUMBER_OF_BURSTS|BURST_PERCENTAGE_AVG_(SEC)|BURST_PERCENTAGE_STD_(SEC)|AREA_UNDER_CROSS_CORRELATION|FULL_WIDTH_AT_HALF_HEIGHT_OF_CROSS_CORRELATION,FALSE
Warfarin,81-81-2,0.62127006641697,1.60214019320295,0.972853065233103,112.38340801508,TOX21_MMP_ratio_down,FALSE
"2,4,6-Tris(tert-butyl)phenol",732-26-3,-1.09433602843932,-0.140093519,1,100,TOX21_MMP_ratio_down|TOX21_MMP_rhodamine|INTER_BURST_INTERVAL_AVG_(SEC)|BURST_PERCENTAGE_AVG_(SEC)|NUMBER_OF_SPIKES_PER_NETWORK_BURST_ STD|NETWORK_BURST_PERCENTAGE|SYNCHRONY_INDEX,FALSE
"2,6-Di-tert-butyl-4-nitrophenol",728-40-5,-1.2636992229713,-0.900223507591302,2.78600654618301,100.171761148672,TOX21_MMP_ratio_down|TOX21_MMP_rhodamine,FALSE
