Compound,CAS,MW,MW_Reference,Expocast,ExpoCast_Reference,Fub,Fub_Reference,Clint,Clint_Reference,pKa_Acceptor,pKa_Acceptor_Reference,pKa_Donor,pKa_Donor_Reference,logKow,logKow_Reference,CNS,CNS_Reference,Neutral_Form,Neutral_Form_Reference,Plasma_Conc_0,Plasma_Conc_10,Plasma_Conc_50,Plasma_Conc_90,logKlipw,logDlipw,IC10_Baseline,AC10,AC10_Top,AC10_HillSlope,AC50,Endpoint_effect,IC10,IC10_Top,IC10_HillSlope,IC50,Endpoint_cytotox,SR,TR
Decamethonium bromide,541-22-0,418.302,U.S. EPA CompTox Dashboard,2.33E-07,Wambaugh 2014,0.44,OPERA (0.28),9.78,OPERA (0.52),None,Sipes 2017,None,Sipes 2017,-3.23,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS,0,0,2.00E-09,1.00E-08,-3.1423,-4.1423,13.01037678,13.01037678,100,1,13.96461928,Baseline,13.01037678,100,1,13.96461928,Baseline,1,1
Hexafluorenium dibromide,317-52-2,662.554,U.S. EPA CompTox Dashboard,4.42E-07,Wambaugh 2014,0.31,OPERA (0.4),12.38,OPERA (0.49),None,Sipes 2017,None,Sipes 2017,-0.86,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0,ACD/Labs GALAS,0,0,1.00E-09,5.00E-09,-0.7486,-1.7486,7.308903427,7.308903427,100,1,8.263145937,Baseline,7.308903427,100,1,8.263145937,Baseline,1,1
Choline bromide,6/6/1927,184.077,U.S. EPA CompTox Dashboard,1.10E-06,U.S. EPA CompTox Dashboard,0.67,OPERA (0.48),8.43,OPERA (0.5),None,Sipes 2017,None,Sipes 2017,-3.7,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS,0,4.00E-09,3.90E-08,1.80E-07,-3.617,-4.617,14.57640778,14.57640778,100,1,15.53065029,Baseline,14.57640778,100,1,15.53065029,Baseline,1,1
Tetraethylammonium bromide,71-91-0,210.159,U.S. EPA CompTox Dashboard,4.37E-08,Wambaugh 2014,0.7,OPERA (0.57),13.58,OPERA (0.55),None,Sipes 2017,None,Sipes 2017,-2.79,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS,0,0,1.00E-09,5.00E-09,-2.6979,-3.6979,11.69507252,11.69507252,100,1,12.64931503,Baseline,11.69507252,100,1,12.64931503,Baseline,1,1
1-Ethyl-1-methylpyrrolidinium bromide,69227-51-6,194.116,U.S. EPA CompTox Dashboard,1.23E-07,Wambaugh 2014,0.73,OPERA (0.54),7,OPERA (0.5),None,Sipes 2017,None,Sipes 2017,-2.69,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS,0,1.00E-09,6.00E-09,2.80E-08,-2.5969,-3.5969,11.414894,11.414894,100,1,12.36913651,Baseline,11.414894,100,1,12.36913651,Baseline,1,1
Prifinium bromide,4630-95-9,386.377,U.S. EPA CompTox Dashboard,2.48E-07,Wambaugh 2014,0.17,OPERA (0.55),0.55,OPERA (0.47),None,Sipes 2017,None,Sipes 2017,0.72,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS,0,1.00E-09,6.00E-09,3.10E-08,0.8472,-0.1528,4.952492819,4.952492819,100,1,5.906735329,Baseline,4.952492819,100,1,5.906735329,Baseline,1,1
1-Ethylpyridinium bromide,1906-79-2,188.068,U.S. EPA CompTox Dashboard,1.35E-07,Wambaugh 2014,0.8,OPERA (0.41),4.45,OPERA (0.59),None,Sipes 2017,None,Sipes 2017,-3.24,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS,0,1.00E-09,1.20E-08,4.80E-08,-3.1524,-4.1524,13.04190259,13.04190259,100,1,13.9961451,Baseline,13.04190259,100,1,13.9961451,Baseline,1,1
Diethylmethyl(2-3-methyl-2-phenylvaleryloxy)-ethyl)ammonium bromide,90-22-2,386.374,U.S. EPA CompTox Dashboard,2.47E-07,Wambaugh 2014,0.19,OPERA (0.45),6.46,OPERA (0.54),None,Sipes 2017,None,Sipes 2017,-0.49,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS,0,0,1.00E-09,4.00E-09,-0.3749,-1.3749,6.675031601,6.675031601,100,1,7.629274111,Baseline,6.675031601,100,1,7.629274111,Baseline,1,1
Tetrapropylammonium bromide,1941-30-6,266.267,U.S. EPA CompTox Dashboard,2.14E-07,Wambaugh 2014,0.41,OPERA (0.46),20.6,OPERA (0.66),None,Sipes 2017,None,Sipes 2017,-1.77,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0,ACD/Labs GALAS,0,0,1.00E-09,7.00E-09,-1.6677,-2.6677,9.12777996,9.12777996,100,1,10.08202247,Baseline,9.12777996,100,1,10.08202247,Baseline,1,1
1-Methyl-1-propylpyrrolidinium bromide,608140-09-6,208.143,U.S. EPA CompTox Dashboard,2.95E-06,U.S. EPA CompTox Dashboard,0.65,OPERA (0.47),10.71,OPERA (0.54),None,Sipes 2017,None,Sipes 2017,-2.61,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS,0,7.00E-09,8.00E-08,3.86E-07,-2.5161,-3.5161,11.19551025,11.19551025,100,1,12.14975276,Baseline,11.19551025,100,1,12.14975276,Baseline,1,1
1-Methyl-1-propylpiperidinium bromide,88840-42-0,222.17,U.S. EPA CompTox Dashboard,8.58E-07,U.S. EPA CompTox Dashboard,0.59,OPERA (0.5),10.83,OPERA (0.55),None,Sipes 2017,None,Sipes 2017,-1.92,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS,0,2.00E-09,2.00E-08,1.00E-07,-1.8192,-2.8192,9.467319177,9.467319177,100,1,10.42156169,Baseline,9.467319177,100,1,10.42156169,Baseline,1,1
Anisotropine methylbromide,80-50-2,362.352,U.S. EPA CompTox Dashboard,2.38E-07,Wambaugh 2014,0.23,OPERA (0.46),4.03,OPERA (0.47),None,Sipes 2017,None,Sipes 2017,0.44,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS,0,0,2.00E-09,9.00E-09,0.5644,-0.4356,5.308109386,5.308109386,100,1,6.262351895,Baseline,5.308109386,100,1,6.262351895,Baseline,1,1
Tetrabutylammonium bromide,1643-19-2,322.375,U.S. EPA CompTox Dashboard,9.81E-08,Wambaugh 2014,0.882166667,Paini 2020,0.36,Paini 2020,None,Sipes 2017,None,Sipes 2017,-0.64,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0,ACD/Labs GALAS,0,8.00E-09,4.90E-08,1.14E-07,-0.5264,-1.5264,6.925288668,0.767202665,22.92912183,7.007147237,0.926495768,TOX21_RT_HEK293_GLO_24hr_viability|TOX21_RT_HEK293_GLO_40hr_viability,0.767202665,22.92912183,7.007147237,0.926495768,TOX21_RT_HEK293_GLO_24hr_viability|TOX21_RT_HEK293_GLO_40hr_viability,1,1439083.528
Butylscopolammonium bromide,149-64-4,440.378,U.S. EPA CompTox Dashboard,2.57E-07,Wambaugh 2014,0.6,OPERA (0.42),8.73,OPERA (0.52),None,Sipes 2017,None,Sipes 2017,-1.99,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS,0,0,4.00E-09,1.90E-08,-1.8899,-2.8899,9.629973518,9.629973518,100,1,10.58421603,Baseline,9.629973518,100,1,10.58421603,Baseline,1,1
1-Butyl-1-methylpyrrolidinium bromide,93457-69-3,222.17,U.S. EPA CompTox Dashboard,1.79E-07,Wambaugh 2014,0.6,OPERA (0.51),11.17,OPERA (0.56),None,Sipes 2017,None,Sipes 2017,-2.32,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS,0,0,4.00E-09,2.10E-08,-2.2232,-3.2232,10.43441075,10.43441075,100,1,11.38865326,Baseline,10.43441075,100,1,11.38865326,Baseline,1,1
1-Butyl-4-methylpyridinium bromide,65350-59-6,230.149,U.S. EPA CompTox Dashboard,9.50E-05,U.S. EPA CompTox Dashboard,0.39,OPERA (0.3),7.59,OPERA (0.48),None,Sipes 2017,None,Sipes 2017,-2.56,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS,0,1.90E-07,1.42E-06,8.35E-06,-2.4656,-3.4656,11.06050466,11.06050466,100,1,12.01474716,Baseline,11.06050466,100,1,12.01474716,Baseline,1,1
1-Butyl-3-methylpyridinium bromide,26576-85-2,230.149,U.S. EPA CompTox Dashboard,9.38E-05,U.S. EPA CompTox Dashboard,0.53,OPERA (0.36),7.58,OPERA (0.47),None,Sipes 2017,None,Sipes 2017,-2.56,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS,0,2.39E-07,2.46E-06,1.28E-05,-2.4656,-3.4656,11.06050466,11.06050466,100,1,12.01474716,Baseline,11.06050466,100,1,12.01474716,Baseline,1,1
1-Butylpyridinium bromide,874-80-6,216.122,U.S. EPA CompTox Dashboard,1.67E-07,Wambaugh 2014,0.51,OPERA (0.32),8.37,OPERA (0.47),None,Sipes 2017,None,Sipes 2017,-2.78,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS,0,0,4.00E-09,2.10E-08,-2.6878,-3.6878,11.66675319,11.66675319,100,1,12.6209957,Baseline,11.66675319,100,1,12.6209957,Baseline,1,1
1-Butyl-2-methylpyridinium bromide,26576-84-1,230.149,U.S. EPA CompTox Dashboard,1.59E-07,Wambaugh 2014,0.21,OPERA (0.41),8.41,OPERA (0.47),None,Sipes 2017,None,Sipes 2017,-2.56,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS,0,0,1.00E-09,3.00E-09,-2.4656,-3.4656,11.06050466,11.06050466,100,1,12.01474716,Baseline,11.06050466,100,1,12.01474716,Baseline,1,1
Benzyldodecyldimethylammonium bromide,4/1/7281,384.446,U.S. EPA CompTox Dashboard,3.94E-07,U.S. EPA CompTox Dashboard,0.16,OPERA (0.58),5.4,OPERA (0.47),None,Sipes 2017,None,Sipes 2017,1.69,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS,0,0,1.00E-09,4.00E-09,1.8269,0.8269,3.888881416,3.888881416,100,1,4.843123925,Baseline,3.888881416,100,1,4.843123925,Baseline,1,1
